SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LANDAREA_AVG,LIVINGAREA_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,LANDAREA_MODE,LIVINGAREA_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,LANDAREA_MEDI,LIVINGAREA_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_TYPE_SUITE_Children,NAME_TYPE_SUITE_Family,NAME_TYPE_SUITE_Other_A,NAME_TYPE_SUITE_Other_B,"NAME_TYPE_SUITE_Spouse, partner",NAME_TYPE_SUITE_Unaccompanied,NAME_INCOME_TYPE_Commercial associate,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_HOUSING_TYPE_Co-op apartment,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Office apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,WEEKDAY_APPR_PROCESS_START_FRIDAY,WEEKDAY_APPR_PROCESS_START_MONDAY,WEEKDAY_APPR_PROCESS_START_SATURDAY,WEEKDAY_APPR_PROCESS_START_SUNDAY,WEEKDAY_APPR_PROCESS_START_THURSDAY,WEEKDAY_APPR_PROCESS_START_TUESDAY,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,HOUSETYPE_MODE_block of flats,HOUSETYPE_MODE_specific housing,HOUSETYPE_MODE_terraced house,WALLSMATERIAL_MODE_Block,WALLSMATERIAL_MODE_Mixed,WALLSMATERIAL_MODE_Monolithic,WALLSMATERIAL_MODE_Others,WALLSMATERIAL_MODE_Panel,"WALLSMATERIAL_MODE_Stone, brick",WALLSMATERIAL_MODE_Wooden
145218,0,0,0,1,1,2,202500.0,606303.0,44248.5,517500.0,0.006233,-13934,-5341,-1355.0,-4766,1,1,0,1,0,0,4.0,2,2,18,0,0,0,0,0,0,0.6516438957666865,0.222331603185638,0.6674577419214722,0.0825,0.0891,0.9776,0.0,0.1379,0.1667,0.1095,0.0643,0.0515,0.084,0.0925,0.9777,0.0,0.1379,0.1667,0.112,0.067,0.0545,0.0833,0.0891,0.9776,0.0,0.1379,0.1667,0.1114,0.0655,0.0526,0.0657,0,1.0,0.0,1.0,0.0,-179.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
114086,0,0,0,0,1,0,180000.0,1350000.0,37255.5,1350000.0,0.010006,-15874,-3656,-191.0,-4839,1,1,0,1,0,0,2.0,2,2,13,0,0,0,0,1,1,0.8145514991473711,0.4407093957182152,0.8245949709919925,0.1773,0.1093,0.9995,0.32,0.1379,0.4167,0.1483,0.2017,0.0638,0.1807,0.1134,0.9995,0.3222,0.1379,0.4167,0.1517,0.2102,0.0675,0.179,0.1093,0.9995,0.32,0.1379,0.4167,0.1509,0.2054,0.0651,0.2254,0,0.0,0.0,0.0,0.0,-3388.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
380066,0,0,1,0,0,0,112500.0,348264.0,34573.5,315000.0,0.072508,-21102,-2710,-8561.0,-4585,1,1,0,1,0,0,2.0,1,1,15,0,0,0,0,0,0,0.7966627564087204,0.7253044674052986,0.6879328378491735,0.2441,0.0141,0.9881,0.3,0.1293,0.6354,0.0,0.2728,0.0719,0.3445,0.0,0.9881,0.4028,0.1724,0.6667,0.0,0.1532,0.0,0.2519,0.0,0.9881,0.32,0.1379,0.6667,0.0,0.2925,0.0504,0.2041,0,0.0,0.0,0.0,0.0,-2568.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
293290,0,0,1,1,1,1,166500.0,332946.0,17127.0,238500.0,0.020713,-21257,-2086,-9854.0,-4630,1,1,0,1,0,1,3.0,3,3,9,0,0,0,0,0,0,0.7499303842249879,0.3963485686010485,0.520897599048938,0.0722,0.0774,0.9861,0.0,0.1379,0.1667,0.0332,0.0665,0.0,0.0735,0.0803,0.9861,0.0,0.1379,0.1667,0.0339,0.0693,0.0,0.0729,0.0774,0.9861,0.0,0.1379,0.1667,0.0337,0.0677,0.0,0.0523,0,1.0,0.0,1.0,0.0,-1728.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
294328,0,0,0,0,0,0,135000.0,659610.0,21276.0,472500.0,0.018801,-14481,-977,-195.0,-4462,1,1,0,1,1,1,1.0,2,2,11,0,0,0,0,0,0,0.6447320042057015,0.5127643107828668,0.5442347412142162,0.2443,1.0,0.999,0.16,0.069,0.6667,0.0252,0.2451,0.05,0.2489,1.0,0.999,0.1611,0.069,0.6667,0.0258,0.2553,0.053,0.2467,1.0,0.999,0.16,0.069,0.6667,0.0257,0.2495,0.0511,0.2383,0,0.0,0.0,0.0,0.0,-1277.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
344184,0,0,0,0,1,0,76500.0,298512.0,30717.0,270000.0,0.010147,-23685,365243,-3994.0,-4894,1,0,0,1,0,0,2.0,2,2,13,0,0,0,0,0,0,0.8908323552562859,0.7984715303212083,0.3589512285783967,0.3907,0.2727,0.9821,0.4,0.3448,0.3333,0.1619,0.4052,0.0048,0.3981,0.283,0.9821,0.4028,0.3448,0.3333,0.1656,0.4222,0.0051,0.3945,0.2727,0.9821,0.4,0.3448,0.3333,0.1648,0.4125,0.0049,0.3572,0,0.0,0.0,0.0,0.0,-499.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
452087,0,0,1,1,1,1,360000.0,447768.0,29920.5,405000.0,0.032561,-10692,-2408,-115.0,-142,1,1,0,1,1,0,2.0,1,1,12,0,0,0,0,0,0,0.6880644016873104,0.6816323695725598,0.248535557339522,0.3113,0.285,0.9955,0.4,0.1724,0.6667,0.1321,0.4395,0.2078,0.3172,0.2958,0.9955,0.4028,0.1724,0.6667,0.1351,0.4579,0.22,0.3144,0.285,0.9955,0.4,0.1724,0.6667,0.1344,0.4474,0.2122,0.3909,0,0.0,0.0,0.0,0.0,-650.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
316381,0,0,0,1,1,0,148500.0,746280.0,44568.0,675000.0,0.016612,-15291,-3779,-9429.0,-4913,1,1,0,1,1,0,2.0,2,2,13,0,0,0,0,0,0,0.7904550574821672,0.5772220773494753,0.7032033049040319,0.2392,0.1866,0.9806,0.28,0.2414,0.3333,0.0312,0.2726,0.0067,0.2437,0.1937,0.9806,0.282,0.2414,0.3333,0.0319,0.284,0.0071,0.2415,0.1866,0.9806,0.28,0.2414,0.3333,0.0318,0.2775,0.0068,0.2817,0,0.0,0.0,0.0,0.0,-792.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
339757,0,0,1,0,1,0,207000.0,1045854.0,33867.0,873000.0,0.018029,-16055,-1426,-387.0,-4557,1,1,0,1,0,0,2.0,3,3,5,0,0,0,0,0,0,0.4297262803051901,0.4487769994814657,0.2692857999073816,0.0619,0.0608,0.9767,0.0,0.1034,0.1667,0.0128,0.0516,0.0,0.063,0.0631,0.9767,0.0,0.1034,0.1667,0.0131,0.0538,0.0,0.0625,0.0608,0.9767,0.0,0.1034,0.1667,0.013,0.0525,0.0,0.0406,0,4.0,0.0,4.0,0.0,-1620.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
360410,0,0,1,1,1,1,292500.0,1575000.0,41679.0,1575000.0,0.010006,-16783,-1586,-6181.0,-323,1,1,0,1,1,0,2.0,2,1,14,0,0,0,0,0,0,0.4187583115524621,0.7565834176034573,0.6785676886853644,0.0845,0.1047,0.993,0.16,0.1379,0.3333,0.0929,0.1938,0.1194,0.0861,0.1087,0.993,0.1611,0.1379,0.3333,0.095,0.2019,0.1264,0.0854,0.1047,0.993,0.16,0.1379,0.3333,0.0945,0.1973,0.1219,0.1983,0,0.0,0.0,0.0,0.0,-2873.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
385695,0,0,0,0,1,0,225000.0,544500.0,17694.0,544500.0,0.006296,-14326,-2811,-8368.0,-4262,1,1,0,1,0,0,2.0,3,3,10,0,0,0,0,0,0,0.7097795261171435,0.7286205424153536,0.7407990879702335,0.0928,0.0982,0.9796,0.0,0.2069,0.1667,0.0868,0.0606,0.0975,0.0945,0.1019,0.9796,0.0,0.2069,0.1667,0.0887,0.0631,0.1032,0.0937,0.0982,0.9796,0.0,0.2069,0.1667,0.0883,0.0617,0.0995,0.0689,0,0.0,0.0,0.0,0.0,-823.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
401766,0,0,0,0,1,0,225000.0,948582.0,27864.0,679500.0,0.010966,-14471,-2275,-6140.0,-4863,1,1,0,1,0,0,2.0,2,2,18,0,0,0,0,0,0,0.665765664875394,0.7351470181521184,0.2353105173615833,0.2052,0.1676,0.9901,0.2,0.1724,0.375,0.0904,0.2072,0.0311,0.209,0.1739,0.9901,0.2014,0.1724,0.375,0.0925,0.2159,0.033,0.2071,0.1676,0.9901,0.2,0.1724,0.375,0.092,0.2109,0.0318,0.1994,0,2.0,0.0,2.0,0.0,-1879.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
